user_id,gender,age,age_group,mod_price,price_group,fre_city,fre_community_type,fre_city_level
78,F,34,26-35,1580,1001-2000,石家庄,城区,二线城市
79,F,68,60+,1498,1001-2000,菏泽,unknown,四线城市
81,M,35,26-35,1068,1001-2000,金昌,乡村,五线城市
82,F,40,36-45,1688,1001-2000,岳阳,乡村,三线城市
83,M,70,60+,899,<=1000,邯郸,unknown,三线城市
84,M,77,60+,1299,1001-2000,丹东,unknown,四线城市
86,M,64,60+,1098,1001-2000,濮阳,unknown,五线城市
87,M,50,46-60,1199,1001-2000,平顶山,乡村,四线城市
88,M,59,46-60,999,<=1000,菏泽,unknown,四线城市
90,M,79,60+,1099,1001-2000,烟台,镇区,二线城市
91,M,34,26-35,1199,1001-2000,红河哈尼族彝族自治州,unknown,四线城市
92,M,43,36-45,799,<=1000,亳州,乡村,五线城市
93,F,37,36-45,1499,1001-2000,邯郸,镇区,三线城市
94,F,67,60+,1099,1001-2000,伊犁哈萨克自治州,乡村,五线城市
95,F,61,60+,649,<=1000,德州,乡村,四线城市
96,M,44,36-45,4399,4001-7000,六盘水,unknown,四线城市
97,F,69,60+,899,<=1000,南通,unknown,二线城市
98,M,73,60+,3199,2001-4000,通辽,乡村,五线城市
99,F,69,60+,1398,1001-2000,普洱,乡村,五线城市
100,M,62,60+,1068,1001-2000,衡阳,城区,三线城市
101,M,58,46-60,1548,1001-2000,铁岭,城区,五线城市
102,M,51,46-60,1199,1001-2000,青岛,unknown,新一线城市
103,M,59,46-60,1599,1001-2000,张家口,乡村,四线城市
104,M,76,60+,3498,2001-4000,聊城,镇区,四线城市
105,M,71,60+,3699,2001-4000,海口,unknown,二线城市
106,M,50,46-60,599,<=1000,潍坊,乡村,三线城市
107,M,51,46-60,899,<=1000,信阳,unknown,三线城市
109,F,64,60+,2498,2001-4000,百色,乡村,四线城市
110,F,59,46-60,1199,1001-2000,临沂,乡村,三线城市
111,F,57,46-60,1799,1001-2000,赣州,城区,三线城市
112,M,66,60+,999,<=1000,枣庄,乡村,四线城市
113,F,51,46-60,1299,1001-2000,衡水,unknown,五线城市
115,F,63,60+,1699,1001-2000,抚顺,城区,五线城市
117,M,42,36-45,3299,2001-4000,南阳,unknown,三线城市
118,M,58,46-60,3999,2001-4000,重庆,unknown,新一线城市
119,F,72,60+,1099,1001-2000,泰安,城区,三线城市
120,M,24,19-25,1798,1001-2000,黔南布依族苗族自治州,镇区,四线城市
121,M,74,60+,1129,1001-2000,武威,unknown,五线城市
122,M,75,60+,1199,1001-2000,汉中,unknown,五线城市
123,F,64,60+,1599,1001-2000,芜湖,unknown,三线城市
124,F,21,19-25,4899,4001-7000,永州,unknown,四线城市
125,F,34,26-35,1499,1001-2000,运城,乡村,四线城市
126,M,71,60+,1139,1001-2000,伊春,unknown,五线城市
127,F,33,26-35,1099,1001-2000,蚌埠,乡村,三线城市
128,M,56,46-60,1068,1001-2000,濮阳,乡村,五线城市
129,M,54,46-60,1068,1001-2000,临沂,乡村,三线城市
130,M,71,60+,1599,1001-2000,来宾,乡村,五线城市
131,M,62,60+,1498,1001-2000,哈尔滨,unknown,二线城市
132,F,73,60+,3299,2001-4000,绥化,镇区,四线城市
133,F,52,46-60,999,<=1000,钦州,乡村,五线城市
134,M,68,60+,1398,1001-2000,吉林,乡村,三线城市
137,M,63,60+,1599,1001-2000,邵阳,unknown,四线城市
138,M,65,60+,999,<=1000,汕头,unknown,三线城市
139,M,73,60+,2999,2001-4000,桂林,unknown,三线城市
140,M,69,60+,1199,1001-2000,威海,乡村,三线城市
141,M,63,60+,1068,1001-2000,邢台,乡村,四线城市
143,M,39,36-45,1798,1001-2000,安顺,乡村,四线城市
144,F,33,26-35,1189,1001-2000,长沙,unknown,新一线城市
145,M,33,26-35,1498,1001-2000,百色,unknown,四线城市
146,M,66,60+,1599,1001-2000,普洱,unknown,五线城市
147,M,75,60+,1699,1001-2000,吉安,unknown,四线城市
148,M,58,46-60,1448,1001-2000,鞍山,城区,三线城市
150,F,79,60+,1798,1001-2000,大连,unknown,二线城市
151,M,56,46-60,1580,1001-2000,临沂,unknown,三线城市
152,F,64,60+,1049,1001-2000,济宁,乡村,三线城市
153,F,77,60+,743,<=1000,赤峰,城区,四线城市
154,M,27,26-35,2499,2001-4000,毕节,unknown,四线城市
155,M,40,36-45,999,<=1000,唐山,乡村,三线城市
156,M,56,46-60,6399,4001-7000,鄂尔多斯,镇区,四线城市
157,M,34,26-35,1098,1001-2000,东莞,镇区,新一线城市
159,F,34,26-35,2699,2001-4000,黔西南布依族苗族自治州,镇区,五线城市
160,F,40,36-45,1999,1001-2000,银川,城区,三线城市
161,F,40,36-45,2299,2001-4000,信阳,乡村,三线城市
162,M,52,46-60,4399,4001-7000,晋中,乡村,四线城市
163,M,57,46-60,1099,1001-2000,张家界,unknown,五线城市
165,M,65,60+,1399,1001-2000,徐州,乡村,二线城市
167,M,26,26-35,1199,1001-2000,伊犁哈萨克自治州,unknown,五线城市
168,M,69,60+,1299,1001-2000,南京,unknown,新一线城市
169,F,53,46-60,999,<=1000,兰州,unknown,二线城市
170,M,54,46-60,1189,1001-2000,酒泉,unknown,五线城市
171,F,46,46-60,1899,1001-2000,临沂,unknown,三线城市
172,F,63,60+,1299,1001-2000,北京,城区,一线城市
173,M,50,46-60,599,<=1000,济宁,unknown,三线城市
174,M,66,60+,999,<=1000,武汉,unknown,新一线城市
175,M,39,36-45,3498,2001-4000,临沧,乡村,五线城市
177,M,77,60+,1099,1001-2000,朔州,城区,五线城市
179,M,53,46-60,3599,2001-4000,濮阳,unknown,五线城市
180,F,55,46-60,1499,1001-2000,盐城,镇区,三线城市
181,M,31,26-35,1899,1001-2000,北京,unknown,一线城市
182,M,64,60+,4099,4001-7000,榆林,unknown,四线城市
183,M,35,26-35,1398,1001-2000,汉中,乡村,五线城市
184,M,55,46-60,1599,1001-2000,厦门,unknown,二线城市
186,M,33,26-35,1068,1001-2000,文山壮族苗族自治州,乡村,五线城市
187,M,49,46-60,1899,1001-2000,鄂尔多斯,城区,四线城市
188,M,24,19-25,799,<=1000,遵义,乡村,三线城市
189,F,76,60+,1199,1001-2000,南宁,unknown,二线城市
190,M,56,46-60,1068,1001-2000,周口,乡村,四线城市
191,M,55,46-60,899,<=1000,驻马店,乡村,四线城市
192,F,50,46-60,1999,1001-2000,赣州,unknown,三线城市
193,M,46,46-60,1498,1001-2000,鄂尔多斯,镇区,四线城市
194,F,37,36-45,3999,2001-4000,贵阳,城区,二线城市
195,M,70,60+,1068,1001-2000,南充,乡村,四线城市
196,F,36,36-45,1099,1001-2000,东莞,镇区,新一线城市
198,M,63,60+,1199,1001-2000,咸阳,镇区,三线城市
199,M,37,36-45,899,<=1000,曲靖,乡村,四线城市
200,M,64,60+,1199,1001-2000,聊城,乡村,四线城市
201,M,73,60+,1099,1001-2000,通辽,乡村,五线城市
202,F,25,19-25,1298,1001-2000,邯郸,镇区,三线城市
203,M,52,46-60,1099,1001-2000,枣庄,乡村,四线城市
204,M,77,60+,1200,1001-2000,洛阳,乡村,三线城市
206,F,59,46-60,2100,2001-4000,济宁,城区,三线城市
207,F,38,36-45,1068,1001-2000,梧州,乡村,四线城市
208,M,61,60+,3999,2001-4000,西安,城区,新一线城市
210,M,35,26-35,1299,1001-2000,贺州,unknown,五线城市
211,F,74,60+,1298,1001-2000,伊犁哈萨克自治州,乡村,五线城市
212,F,70,60+,799,<=1000,菏泽,乡村,四线城市
213,F,51,46-60,1299,1001-2000,郑州,乡村,新一线城市
215,M,38,36-45,549,<=1000,张家口,乡村,四线城市
216,M,67,60+,1498,1001-2000,牡丹江,乡村,四线城市
217,M,33,26-35,1068,1001-2000,邯郸,城区,三线城市
218,M,60,46-60,999,<=1000,陇南,unknown,五线城市
219,M,71,60+,1398,1001-2000,铁岭,乡村,五线城市
220,F,77,60+,899,<=1000,衢州,乡村,四线城市
221,M,62,60+,1158,1001-2000,徐州,城区,二线城市
222,M,35,26-35,1189,1001-2000,普洱,unknown,五线城市
223,F,39,36-45,2999,2001-4000,昌都,unknown,五线城市
225,F,58,46-60,799,<=1000,西宁,城区,四线城市
227,M,77,60+,1599,1001-2000,东营,unknown,四线城市
228,M,74,60+,938,<=1000,株洲,镇区,三线城市
230,M,52,46-60,899,<=1000,西安,unknown,新一线城市
231,F,66,60+,2149,2001-4000,济宁,unknown,三线城市
232,M,55,46-60,599,<=1000,邯郸,乡村,三线城市
233,F,33,26-35,3299,2001-4000,驻马店,unknown,四线城市
234,M,54,46-60,1199,1001-2000,沧州,unknown,三线城市
235,M,32,26-35,2199,2001-4000,海口,unknown,二线城市
237,M,34,26-35,899,<=1000,防城港,unknown,五线城市
238,M,73,60+,4999,4001-7000,三亚,城区,三线城市
239,M,36,36-45,1789,1001-2000,天水,乡村,五线城市
240,M,64,60+,3199,2001-4000,唐山,unknown,三线城市
241,M,61,60+,1789,1001-2000,宣城,unknown,四线城市
242,M,60,46-60,1899,1001-2000,东营,unknown,四线城市
244,F,67,60+,1099,1001-2000,贵港,乡村,五线城市
245,F,58,46-60,3098,2001-4000,南阳,unknown,三线城市
246,F,53,46-60,2288,2001-4000,乌鲁木齐,unknown,三线城市
247,F,75,60+,999,<=1000,葫芦岛,unknown,五线城市
248,M,71,60+,1699,1001-2000,潍坊,unknown,三线城市
249,F,25,19-25,3498,2001-4000,贺州,乡村,五线城市
250,M,77,60+,899,<=1000,大同,乡村,四线城市
252,M,58,46-60,1199,1001-2000,沈阳,乡村,新一线城市
253,M,31,26-35,9299,7000+,台南,城区,三线城市
254,M,74,60+,1399,1001-2000,邵阳,镇区,四线城市
255,M,68,60+,3110,2001-4000,石家庄,unknown,二线城市
256,M,54,46-60,1099,1001-2000,朝阳,乡村,五线城市
258,M,77,60+,999,<=1000,徐州,城区,二线城市
259,M,65,60+,899,<=1000,潍坊,乡村,三线城市
260,M,27,26-35,6499,4001-7000,六盘水,unknown,四线城市
261,F,51,46-60,2458,2001-4000,无锡,unknown,二线城市
262,F,75,60+,3299,2001-4000,内江,城区,五线城市
263,F,40,36-45,3999,2001-4000,昆明,unknown,新一线城市
264,M,51,46-60,1899,1001-2000,济南,城区,二线城市
265,M,69,60+,1499,1001-2000,丽江,unknown,四线城市
266,M,67,60+,1399,1001-2000,百色,乡村,四线城市
267,M,61,60+,1068,1001-2000,临沂,城区,三线城市
268,F,70,60+,799,<=1000,玉溪,城区,五线城市
269,M,76,60+,1299,1001-2000,沈阳,unknown,新一线城市
270,M,24,19-25,1299,1001-2000,宝鸡,镇区,四线城市
271,M,55,46-60,799,<=1000,扬州,乡村,二线城市
272,M,39,36-45,899,<=1000,邯郸,乡村,三线城市
273,M,63,60+,3488,2001-4000,长沙,城区,新一线城市
274,M,69,60+,1599,1001-2000,百色,镇区,四线城市
275,F,58,46-60,1068,1001-2000,保定,镇区,三线城市
276,M,75,60+,1199,1001-2000,廊坊,乡村,三线城市
277,M,61,60+,1199,1001-2000,佳木斯,乡村,四线城市
278,M,56,46-60,2399,2001-4000,牡丹江,unknown,四线城市
279,M,71,60+,1068,1001-2000,绥化,镇区,四线城市
280,M,72,60+,1199,1001-2000,三门峡,unknown,五线城市
281,M,50,46-60,949,<=1000,济源,乡村,五线城市
282,M,59,46-60,1348,1001-2000,石家庄,乡村,二线城市
283,M,61,60+,1799,1001-2000,牡丹江,乡村,四线城市
284,F,20,19-25,1199,1001-2000,天津,unknown,新一线城市
285,M,66,60+,1299,1001-2000,济南,unknown,二线城市
286,M,59,46-60,1299,1001-2000,嘉兴,unknown,二线城市
288,F,27,26-35,1398,1001-2000,上饶,unknown,三线城市
291,M,67,60+,1199,1001-2000,衡水,乡村,五线城市
292,F,40,36-45,3499,2001-4000,徐州,unknown,二线城市
293,M,45,36-45,1399,1001-2000,泉州,unknown,二线城市
294,M,27,26-35,999,<=1000,厦门,城区,二线城市
295,M,52,46-60,1398,1001-2000,张家口,镇区,四线城市
296,M,51,46-60,1199,1001-2000,赤峰,乡村,四线城市
297,M,72,60+,2100,2001-4000,邢台,乡村,四线城市
298,F,57,46-60,599,<=1000,无锡,unknown,二线城市
299,M,69,60+,1299,1001-2000,株洲,乡村,三线城市
300,M,75,60+,1199,1001-2000,丹东,unknown,四线城市
301,M,55,46-60,999,<=1000,武汉,城区,新一线城市
302,F,74,60+,1068,1001-2000,六盘水,镇区,四线城市
303,M,75,60+,1150,1001-2000,合肥,镇区,二线城市
305,M,36,36-45,1068,1001-2000,沧州,乡村,三线城市
306,M,58,46-60,1299,1001-2000,黔东南苗族侗族自治州,乡村,四线城市
307,M,35,26-35,1398,1001-2000,巴音郭楞蒙古自治州,镇区,五线城市
308,F,72,60+,999,<=1000,大连,unknown,二线城市
309,F,31,26-35,1548,1001-2000,永州,乡村,四线城市
310,M,32,26-35,1099,1001-2000,南通,乡村,二线城市
311,M,33,26-35,1699,1001-2000,濮阳,镇区,五线城市
312,M,57,46-60,2299,2001-4000,黄石,城区,四线城市
313,M,50,46-60,1189,1001-2000,株洲,unknown,三线城市
314,M,56,46-60,1099,1001-2000,中山,unknown,二线城市
315,M,39,36-45,1398,1001-2000,临沧,乡村,五线城市
316,M,74,60+,1199,1001-2000,乌鲁木齐,unknown,三线城市
317,M,60,46-60,1599,1001-2000,平凉,城区,五线城市
318,M,50,46-60,1199,1001-2000,鄂尔多斯,镇区,四线城市
319,M,40,36-45,1599,1001-2000,昆明,unknown,新一线城市
320,F,33,26-35,999,<=1000,石家庄,unknown,二线城市
322,M,66,60+,999,<=1000,双鸭山,乡村,五线城市
323,F,70,60+,1498,1001-2000,吴忠,乡村,五线城市
325,M,60,46-60,999,<=1000,平凉,乡村,五线城市
326,F,76,60+,1199,1001-2000,天津,城区,新一线城市
327,M,68,60+,1999,1001-2000,深圳,城区,一线城市
328,M,43,36-45,3599,2001-4000,天津,城区,新一线城市
329,M,64,60+,599,<=1000,哈尔滨,镇区,二线城市
330,M,39,36-45,1189,1001-2000,桂林,城区,三线城市
331,F,39,36-45,2699,2001-4000,银川,unknown,三线城市
332,M,75,60+,1399,1001-2000,长春,城区,二线城市
333,M,32,26-35,499,<=1000,南平,乡村,三线城市
334,M,55,46-60,1999,1001-2000,临汾,unknown,四线城市
335,M,63,60+,558,<=1000,淮北,镇区,五线城市
336,M,69,60+,2999,2001-4000,邯郸,unknown,三线城市
337,F,51,46-60,999,<=1000,廊坊,unknown,三线城市
338,F,77,60+,3399,2001-4000,泰州,unknown,三线城市
339,F,54,46-60,849,<=1000,太原,unknown,二线城市
340,M,50,46-60,1099,1001-2000,安康,镇区,五线城市
341,M,62,60+,1699,1001-2000,廊坊,镇区,三线城市
342,M,37,36-45,1789,1001-2000,延安,乡村,五线城市
343,M,76,60+,3699,2001-4000,巴音郭楞蒙古自治州,unknown,五线城市
344,M,70,60+,1099,1001-2000,贵阳,乡村,二线城市
345,F,20,19-25,599,<=1000,金华,乡村,二线城市
346,M,50,46-60,599,<=1000,厦门,unknown,二线城市
347,M,26,26-35,5849,4001-7000,南宁,城区,二线城市
348,F,59,46-60,1699,1001-2000,沧州,乡村,三线城市
349,M,53,46-60,1699,1001-2000,娄底,unknown,四线城市
350,M,70,60+,1699,1001-2000,盐城,unknown,三线城市
352,M,54,46-60,1898,1001-2000,德州,镇区,四线城市
353,F,60,46-60,1099,1001-2000,贺州,乡村,五线城市
354,M,36,36-45,1399,1001-2000,信阳,镇区,三线城市
355,F,61,60+,2999,2001-4000,郑州,城区,新一线城市
356,M,68,60+,1068,1001-2000,鞍山,城区,三线城市
357,M,29,26-35,2698,2001-4000,南京,城区,新一线城市
358,F,79,60+,999,<=1000,石家庄,unknown,二线城市
359,M,79,60+,1068,1001-2000,防城港,乡村,五线城市
360,M,57,46-60,738,<=1000,枣庄,unknown,四线城市
361,M,53,46-60,1499,1001-2000,济南,unknown,二线城市
362,M,32,26-35,999,<=1000,新乡,unknown,三线城市
363,M,57,46-60,799,<=1000,青岛,城区,新一线城市
364,M,76,60+,899,<=1000,沈阳,镇区,新一线城市
365,F,65,60+,1299,1001-2000,德州,unknown,四线城市
366,F,69,60+,899,<=1000,淮安,城区,三线城市
367,F,36,36-45,1998,1001-2000,秦皇岛,unknown,三线城市
368,M,67,60+,1899,1001-2000,六安,镇区,四线城市
369,M,68,60+,1399,1001-2000,赣州,unknown,三线城市
370,M,33,26-35,2699,2001-4000,衡阳,unknown,三线城市
371,F,77,60+,1299,1001-2000,克孜勒苏柯尔克孜自治州,城区,五线城市
372,F,31,26-35,1198,1001-2000,唐山,乡村,三线城市
373,M,69,60+,1649,1001-2000,咸宁,unknown,四线城市
374,F,31,26-35,1798,1001-2000,漯河,城区,五线城市
375,M,50,46-60,1548,1001-2000,唐山,乡村,三线城市
377,M,38,36-45,1899,1001-2000,石家庄,unknown,二线城市
378,M,73,60+,2999,2001-4000,三门峡,乡村,五线城市
379,M,78,60+,999,<=1000,平顶山,unknown,四线城市
381,M,31,26-35,1199,1001-2000,永州,unknown,四线城市
382,M,35,26-35,999,<=1000,盐城,镇区,三线城市
383,M,49,46-60,599,<=1000,兰州,乡村,二线城市
384,F,75,60+,1599,1001-2000,西安,城区,新一线城市
385,F,76,60+,1398,1001-2000,铁岭,乡村,五线城市
386,F,65,60+,1999,1001-2000,遵义,镇区,三线城市
387,F,54,46-60,1699,1001-2000,北海,乡村,四线城市
388,M,40,36-45,1799,1001-2000,防城港,unknown,五线城市
389,M,34,26-35,1398,1001-2000,钦州,unknown,五线城市
390,M,66,60+,1199,1001-2000,邯郸,unknown,三线城市
391,M,58,46-60,1099,1001-2000,临沧,乡村,五线城市
392,M,25,19-25,1699,1001-2000,陵水黎族自治县,乡村,五线城市
393,M,48,46-60,899,<=1000,普洱,乡村,五线城市
395,M,44,36-45,899,<=1000,福州,unknown,二线城市
396,M,57,46-60,796,<=1000,沈阳,乡村,新一线城市
397,M,73,60+,599,<=1000,玉林,乡村,四线城市
398,M,38,36-45,1299,1001-2000,昆明,unknown,新一线城市
401,M,67,60+,3199,2001-4000,秦皇岛,unknown,三线城市
402,M,61,60+,3498,2001-4000,怀化,unknown,四线城市
403,M,52,46-60,6499,4001-7000,茂名,unknown,四线城市
404,F,57,46-60,2699,2001-4000,威海,unknown,三线城市
405,M,21,19-25,1199,1001-2000,上饶,乡村,三线城市
407,M,28,26-35,989,<=1000,咸宁,镇区,四线城市
408,F,22,19-25,1399,1001-2000,南宁,乡村,二线城市
409,M,54,46-60,1068,1001-2000,台州,乡村,二线城市
410,F,65,60+,2458,2001-4000,沧州,城区,三线城市
411,M,37,36-45,2788,2001-4000,安康,unknown,五线城市
412,M,38,36-45,1998,1001-2000,宿州,乡村,四线城市
413,M,70,60+,901,<=1000,武汉,乡村,新一线城市
414,F,69,60+,1798,1001-2000,宁波,乡村,新一线城市
415,F,57,46-60,1068,1001-2000,邵阳,乡村,四线城市
416,F,55,46-60,1299,1001-2000,石家庄,unknown,二线城市
417,M,79,60+,1398,1001-2000,亳州,乡村,五线城市
418,F,59,46-60,899,<=1000,菏泽,乡村,四线城市
419,M,59,46-60,1399,1001-2000,孝感,unknown,四线城市
420,F,34,26-35,1798,1001-2000,保定,城区,三线城市
421,F,55,46-60,999,<=1000,烟台,城区,二线城市
422,M,38,36-45,1798,1001-2000,铜陵,乡村,四线城市
423,M,59,46-60,1799,1001-2000,琼海,乡村,五线城市
424,M,74,60+,999,<=1000,开封,乡村,四线城市
425,M,32,26-35,3199,2001-4000,昭通,乡村,五线城市
428,M,71,60+,2099,2001-4000,驻马店,乡村,四线城市
429,M,65,60+,1899,1001-2000,新乡,城区,三线城市
430,M,66,60+,1599,1001-2000,驻马店,unknown,四线城市
431,M,32,26-35,1599,1001-2000,遵义,乡村,三线城市
432,M,54,46-60,1299,1001-2000,苏州,unknown,新一线城市
433,F,63,60+,899,<=1000,石家庄,unknown,二线城市
434,F,73,60+,899,<=1000,马鞍山,城区,三线城市
435,F,77,60+,1899,1001-2000,沈阳,城区,新一线城市
436,M,52,46-60,2198,2001-4000,嘉峪关,unknown,五线城市
437,M,75,60+,3699,2001-4000,长春,乡村,二线城市
438,M,60,46-60,2299,2001-4000,成都,unknown,新一线城市
439,M,72,60+,999,<=1000,齐齐哈尔,乡村,四线城市
440,M,72,60+,2499,2001-4000,厦门,unknown,二线城市
441,M,65,60+,1199,1001-2000,连云港,unknown,三线城市
442,M,56,46-60,1789,1001-2000,北京,unknown,一线城市
443,M,59,46-60,3199,2001-4000,梧州,unknown,四线城市
444,M,31,26-35,6399,4001-7000,石家庄,城区,二线城市
445,F,39,36-45,1199,1001-2000,晋城,乡村,五线城市
446,F,47,46-60,599,<=1000,临沂,城区,三线城市
447,M,54,46-60,945,<=1000,菏泽,unknown,四线城市
448,M,70,60+,1199,1001-2000,红河哈尼族彝族自治州,乡村,四线城市
449,F,24,19-25,2998,2001-4000,遵义,乡村,三线城市
450,M,67,60+,1199,1001-2000,东营,城区,四线城市
451,M,60,46-60,1599,1001-2000,贵阳,城区,二线城市
452,F,79,60+,1299,1001-2000,威海,乡村,三线城市
453,M,36,36-45,999,<=1000,洛阳,乡村,三线城市
454,M,73,60+,1299,1001-2000,恩施土家族苗族自治州,unknown,四线城市
455,M,53,46-60,1099,1001-2000,丽江,unknown,四线城市
456,M,38,36-45,2699,2001-4000,兰州,镇区,二线城市
457,F,40,36-45,999,<=1000,永州,unknown,四线城市
458,M,32,26-35,2999,2001-4000,常德,unknown,四线城市
459,M,63,60+,799,<=1000,周口,乡村,四线城市
461,M,62,60+,1068,1001-2000,保山,乡村,四线城市
463,M,56,46-60,799,<=1000,黔南布依族苗族自治州,乡村,四线城市
464,F,37,36-45,3599,2001-4000,定西,unknown,五线城市
465,F,36,36-45,1458,1001-2000,沈阳,城区,新一线城市
466,F,61,60+,2288,2001-4000,淮北,乡村,五线城市
468,F,72,60+,1798,1001-2000,白城,城区,五线城市
469,M,54,46-60,1099,1001-2000,潍坊,镇区,三线城市
470,F,52,46-60,999,<=1000,泉州,乡村,二线城市
471,M,73,60+,1399,1001-2000,焦作,unknown,四线城市
474,M,37,36-45,1299,1001-2000,恩施土家族苗族自治州,镇区,四线城市
475,M,38,36-45,1449,1001-2000,合肥,unknown,二线城市
476,M,51,46-60,1798,1001-2000,无锡,unknown,二线城市
478,M,53,46-60,899,<=1000,包头,unknown,三线城市
483,M,56,46-60,1299,1001-2000,盘锦,乡村,四线城市
484,M,68,60+,1963,1001-2000,济宁,乡村,三线城市
486,M,52,46-60,1798,1001-2000,西安,unknown,新一线城市
487,M,33,26-35,2699,2001-4000,东莞,镇区,新一线城市
488,F,76,60+,3498,2001-4000,渭南,镇区,四线城市
489,M,75,60+,2799,2001-4000,六安,unknown,四线城市
490,M,50,46-60,999,<=1000,益阳,乡村,四线城市
492,M,75,60+,899,<=1000,南通,乡村,二线城市
493,F,34,26-35,1099,1001-2000,文昌,unknown,五线城市
495,M,30,26-35,2100,2001-4000,黔南布依族苗族自治州,乡村,四线城市
496,M,70,60+,3299,2001-4000,淄博,unknown,三线城市
499,M,65,60+,1598,1001-2000,烟台,unknown,二线城市
500,M,60,46-60,1599,1001-2000,长春,城区,二线城市
501,M,38,36-45,3298,2001-4000,揭阳,城区,三线城市
502,F,39,36-45,3199,2001-4000,嘉兴,unknown,二线城市
503,M,24,19-25,5499,4001-7000,广州,unknown,一线城市
