pid,author_id,category_id,category_level,parent_id,root_id,root_name_cn,root_name_en,duration,author_fans_count,title,tag_name
66460,2981098966,7,1,7,7,运动, movement,37.4,2245,白岩松:越自律越自由,人生感悟|白岩松|大咖
67249,1380298418,2,1,2,2,音乐, music,473.3,504275,演唱:间维文李双江,我在快手整活|阎维文|北京颂歌
97838,1301984691,292,2,12,12,美食, gourmet,109.142,159040,一气吹俩吹大牛和大鸡,吹糖人|新光合计划
98253,1438608115,19,1,19,19,情感, emotion,236.5,201327,人老了有两样东西不能给儿女,情感|光合计划创作者|正能量
98427,755088182,22,1,22,22,财经, Finance,292.333,663651,银行有存款的好消息来了,2022年有定期存款的人有福气了|你的定期存款方式对吗
98690,2365405616,28,1,28,28,资讯, information,201.166,206647,七大国联手围堵俄罗斯外媒逼问中国立场,俄罗斯经济被围攻|非凡十年|七国再度围攻俄罗斯
98708,2431591350,39,1,39,39,影视和短剧, films and short plays,78.183,187713,医生给老太太做检查老太太看到医生带的项链这不是六十年前女儿的吗,影视解说热门|电影解说|家庭情感剧
98763,2354248035,2,1,2,2,音乐, music,11.96,695852,《乌兰巴托的夜》苗圃江珊,我在快手整活|音乐
100401,424451972,6,1,6,6,明星娱乐, Star Entertainment,19.566,10977,娱乐圈二婚的12对明星夫妻,明星夫妻|新光合计划
100667,2905989545,25,1,25,25,亲子, parent-child,111.566,12280,孩子一生中拥有三个变聪明的黄金期,亲子教育|加油季|家长必读
105448,1586395096,28,1,28,28,资讯, information,12.8,1369884,92岁抗美援朝老英雄孟照起遗体捐献用于医学研究安医大接受站接收,泪目|非凡十年|致敬英雄
136326,2669138323,19,1,19,19,情感, emotion,9.733,18884,有钱给谁,快手好书单
144286,1405553149,11,1,11,11,生活, life,7.166,135,陆家村唯一女兵光荣入伍谁说女子不如男,陆秋媛
146936,1725554141,15,1,15,15,才艺, talent,17.8,523918,不常用的孪生字,传统文化|冷知识|涨知识
151261,2711627312,25,1,25,25,亲子, parent-child,6.1,16057,历史上皇帝在位时间一定要告诉孩子,涨知识|种草|知识分享
152374,2169054113,7,1,7,7,运动, movement,14.4,506768,快手世民李世民,健美比赛|奥赛|我在快手整活
490,1868636737,3,1,3,3,游戏,game,12.04,62649,一个动画片有三个女孩子,感谢官方大大让我上一次热门|二次元
3701,2812557104,15,1,15,15,才艺, talent,103.64,13104,当有人模仿我时讽刺当有人模仿我时,池悦社
9840,1697741012,28,1,28,28,资讯, information,67.033,449444,路遇查酒驾虚惊一场,场哥讲故事
12555,2889237393,6,1,6,6,明星娱乐, Star Entertainment,137.966,201445,泡茶,宝妈|快手戏精|出发吧老妈|2022光合创作者大会|我妈给我一个大碧斗|原创短剧
33437,2165385550,3,1,3,3,游戏,game,45.291,29368,#某人要不要脸?某人我是不是给你脸了?,皖曦婷
33953,2277675860,20,1,20,20,二次元, quadratic,86.366,110422,我叫格瑞,软糖专属话题|瑞金|ooc道歉
34678,2889237393,25,1,25,25,亲子, parent-child,63.233,205895,面粉,出发吧老妈|我妈给我一个大碧斗
38914,122686975,4,1,4,4,美妆, beauty,99.0,544004,焊在脸上!!挑战洗澡都不脱妆,彩妆|薅羊毛
39157,1964944958,12,1,12,12,美食, gourmet,21.433000000000003,3118,(黑咖减肥吗?),低卡|集结吧光合创作者|咖啡
40402,2665077952,20,1,20,20,二次元, quadratic,20.133,264595,妈妈是因为爱你才打你啊!,亲子教育|小海豹森米|育儿
46953,55652697,3,1,3,3,游戏,game,11.566,182142,《西游摇》,游戏凡星计划|和平精英|西游摇
61554,2692465765,9,1,9,9,搞笑, funny,20.616,60471,撒蛋《当开学的人上了天堂》,内容过于真实|搞笑|Swa哥
61712,1584115291,9,1,9,9,搞笑, funny,32.333,1389504,奕轩送给大家看一下,奕轩专属标签
61812,2030706815,6,1,6,6,明星娱乐, Star Entertainment,73.366,699449,掏马蜂窝打遍马蜂无敌手,搞笑|离谱|整活
61897,2950891041,3,1,3,3,游戏,game,34.533,2229,家人们我无语了,无语了|清者自清
61969,2867694039,9,1,9,9,搞笑, funny,11.2,267745,开学到了新环境的你你,搞笑视频|真实故事|萌妹
63902,2869496661,39,1,39,39,影视和短剧, films and short plays,45.08,143388,网红误入黑帮交易现场能否全身而,素人特工
64122,2692465765,9,1,9,9,搞笑, funny,24.666,56466,《当你上了天堂》,内容过于真实|Swa哥|搞笑
64165,2336560877,34,1,34,34,随手拍, random shot,37.533,8730,霸道总裁,特效表演show
64551,503320523,3,1,3,3,游戏,game,77.366,2924327,众所周知在台阶方块前面,迷你世界新版本打卡|迷你世界
64760,1422610320,9,1,9,9,搞笑, funny,60.266000000000005,137471,当我嫂子是搞笑女时2,当我嫂子是搞笑女时|夏日暴击|御木兰的专属频道
65710,1568779701,26,1,26,26,摄影, photography,20.566,1565939,怎么拍元气甜妹,拍照姿势|拍照|自拍
66928,102210959,4,1,4,4,美妆, beauty,307.5,1146378,两个小细节让你甩同龄人,护肤
67516,2279331148,3,1,3,3,游戏,game,121.617,4994,顾北竟然HY了,萘云团
67727,2871218951,20,1,20,20,二次元, quadratic,94.666,33264,而我成为了皇后,不是原创|音频不是我的|触漫|不知道原创麻烦艾特一下|发了不火系列
71276,2072212857,3,1,3,3,游戏,game,42.533,319672,快手最新女团K,小屁桃和平精英|集合吧光合创作者|K女团
81620,2187315602,11,1,11,11,生活, life,10.5,212777,我插队我有理,导游奥陶纪|重庆奥陶纪正常营业|导游重庆
97627,2918775153,9,1,9,9,搞笑, funny,15.333,73649,303竟然敢对菜鸟动手!,我的世界
97799,221537654,3,1,3,3,游戏,game,31.833,500514,关于冰箱怎么可能惊呆了,价值一个点赞
97998,2295172561,10,1,10,10,旅游, travel,43.1,2228831,情侣一定要一起去打卡的城市,情侣|国庆假期|旅行
98654,2193697750,39,1,39,39,影视和短剧, films and short plays,150.1,1936784,大学开学军训时,开学季|新学期多点新本事|夸克
99421,2870451338,39,1,39,39,影视和短剧, films and short plays,227.516,110970,胜券在握的样子,新乌龙院之笑闹江湖
99514,2957551967,20,1,20,20,二次元, quadratic,36.629,3746,#某些大佬,大佬架子|芸辞
121976,2250624304,25,1,25,25,亲子, parent-child,36.666,48613,*爸爸刷视频*,热门|快手创作者中心|爱快手官方
122914,1748013791,20,1,20,20,二次元, quadratic,8.033,12159,我有80万哦,黑历史|璇茶的专属话题|半改官方人设致歉
131257,1368505383,28,1,28,28,资讯, information,6.066,15883,地震快讯发生5.7级地震,地震|台湾|台湾花莲县发生5
1611,2298481629,39,1,39,39,影视和短剧, films and short plays,256.519,2243201,父爱如山,天生我有戏|父爱如山|剧星大赛
8718,2055887497,25,1,25,25,亲子, parent-child,37.5,7273,门口粘胶带测试宝宝反应,人类幼崽成长计划|三胞胎|可爱的宝贝们
37643,2164167903,39,1,39,39,影视和短剧, films and short plays,302.716,1417339,得了抑郁症的婆婆帮儿媳妇带孩子不,快手影视高热计划|二胎时代|快手弹幕
47001,2958188839,5,1,5,5,穿搭, wear it,23.133000000000003,251852,鞋带的高级系法,生活小妙招
383,2662217723,12,1,12,12,美食, gourmet,236.633,370170,花椒直接炸就错了这样做才又香又麻拌面拌凉菜都超赞,我是爆款王|花椒油制作|集结吧光合创作者
608,1172033050,39,1,39,39,影视和短剧, films and short plays,222.86,34675,谢谢,家庭百态|正能量专递|乡村爱情喜剧
3100,1669677085,28,1,28,28,资讯, information,119.933,44257,电动车新规来了电动车可以正常上路行驶了,新国标电动车|互联网一部手机创业|电动车新规
7109,2500815116,9,1,9,9,搞笑, funny,76.933,1275206,把铝水倒入土洞究竟要干什么,夏日暴击|和你在一起|快手有戏精
7586,2202030516,21,1,21,21,历史, history,433.016,281403,土耳其发现七亿吨稀土这对于中国意味着什么,中国加油|土耳其|土耳其发现大量稀土资源
32572,914387413,11,1,11,11,生活, life,112.551,458,描毛若虫钩「极简主义」,微物路亚
35745,2637830079,19,1,19,19,情感, emotion,174.483,36276,得到支助的女孩成功上完大学后回报场面让人泪流满面,知恩图报|情感|传递正能量
62407,2869310832,39,1,39,39,影视和短剧, films and short plays,217.02,400693,误会爱的人,天生我有戏|追剧一夏
63237,2284468434,11,1,11,11,生活, life,41.333,78577,十到三十分钟,盆栽花卉|花卉绿植养花|分享家庭养花知识
64698,2873422416,11,1,11,11,生活, life,233.12,6567,花椒养花,养花小知识|种植小技巧|民间偏方
97666,1983054532,16,1,16,16,健康, healthy,136.6,2706861,猕猴桃大量上市你了解这个水果吗?,山东
97706,1109374948,15,1,15,15,才艺, talent,50.266000000000005,239851,专业操作请勿模仿,快手助我上热门|非遗传承|茶文化
98061,2845534473,39,1,39,39,影视和短剧, films and short plays,249.733,1934,征服白富美走向巅峰,快手影视剧|快手影视创作者
98241,2980341836,39,1,39,39,影视和短剧, films and short plays,83.541,6369,王香妹和二狗甜蜜的爱情,我在快手追好剧|乡村爱情故事|快手创作者服务中心
655,2882598128,25,1,25,25,亲子, parent-child,197.08,79888,看见我的袜子了吗?,儿童|玩具|热门
12410,890999003,39,1,39,39,影视和短剧, films and short plays,76.3,297767,农民工出事了,工地人|工地搬砖|最美农民工
36457,1990384109,20,1,20,20,二次元, quadratic,15.2,1625410,奥特战士不行了,夏日暴击
36755,2886386398,39,1,39,39,影视和短剧, films and short plays,374.615,185981,《陈真》,经典影视|怀旧经典影视|大侠霍元甲
36885,1176170478,2,1,2,2,音乐, music,146.966,1851532,《活着为啥这么难》句句戳心,我在快手整活|夏日暴击|秋天的第一首歌
61542,2825008924,9,1,9,9,搞笑, funny,65.9,251889,"棒棒糖变成蝙蝠侠难以置信!神奇的""魔法""",搞笑配音|搞笑|夏日暴击
62968,2361482985,39,1,39,39,影视和短剧, films and short plays,262.616,123536,电影片名三斗鹤观音+武状元,电影剪辑|经典动作片|怀旧经典影视
71629,2758658322,2,1,2,2,音乐, music,53.433,118812,闪亮,伤感歌曲
1266,928708367,9,1,9,9,搞笑, funny,290.6,587526,最近,员工|管理
3425,2603135804,9,1,9,9,搞笑, funny,33.9,43070,狭路相逢嘴欠者胜,搞笑视频配音|快手热点|搞笑配音
3429,2632462386,12,1,12,12,美食, gourmet,262.566,225136,麻辣羊蹄,美食|羊蹄|记录我的农村生活
4676,2075472862,9,1,9,9,搞笑, funny,146.48,2213482,美女相亲问小伙开什么车不想小伙回答笑喷了《开破车》,天生我有戏
4800,33779373,39,1,39,39,影视和短剧, films and short plays,334.033,32463,《机动部队之绝路》,我在快手追好剧|快手放映室
5069,1115209679,39,1,39,39,影视和短剧, films and short plays,199.483,10796825,哥家就是你的家,天生我有戏|家庭|情感
5546,1458613033,9,1,9,9,搞笑, funny,223.766,63913,搞笑配音每天更新,搞笑配音|搞笑|夏日暴击
5679,276592828,9,1,9,9,搞笑, funny,156.533,195638,搞笑柱子开心笑哈哈,快手热点|搞笑视频|搞笑
6357,2320644006,11,1,11,11,生活, life,131.9,152144,这么好心的大哥,钓鱼技巧|钓鱼人的快乐|户外钓鱼
6436,2685631056,9,1,9,9,搞笑, funny,184.0,285722,方清平,搞笑|爆笑|相声
8336,2820532114,39,1,39,39,影视和短剧, films and short plays,187.8,30231,天师钟馗,天师钟馗
8888,2440345378,6,1,6,6,明星娱乐, Star Entertainment,189.8,69643,《美女司机拉客奇葩乘客》,天生我有戏|搞笑夫妻|搞笑
9051,434722167,9,1,9,9,搞笑, funny,114.533,4863,《磕巴点菜》,搞笑视频
9634,2392422993,39,1,39,39,影视和短剧, films and short plays,151.36,120655,翻脸的老同学,天生我有戏
10547,1901763101,12,1,12,12,美食, gourmet,102.533,920517,农村人农村事,农村饭菜|天生我有戏|记录我的生活
10667,2869651737,9,1,9,9,搞笑, funny,154.8,24774,板正,板正龙|嘎嘎板正
11058,2811871578,9,1,9,9,搞笑, funny,129.357,26847,方清平精彩脱口秀调侃自己开车打手势专治不开心,超级脱口秀|热门|热门用快影
12240,483495469,9,1,9,9,搞笑, funny,32.766,59547,也不知道是谁发明的内裤,搞笑配音对口型飙演技|感谢快手同城热门|感谢快手官大大每次热门推送
12599,1163018288,22,1,22,22,财经, Finance,77.666,4276,(上》,医保|城乡居民医保涨价
12745,2403228407,39,1,39,39,影视和短剧, films and short plays,32.216,131873,一男子在超市结算时,快影学院|新光合计划|热评
12746,1537007397,28,1,28,28,资讯, information,27.95,24637,日本小伙在中国正能量闯红灯被中国交警拦截下来,爱我中华强我国威|中国好儿郎|正能量
12999,1062837981,39,1,39,39,影视和短剧, films and short plays,558.32,748819,男孩无意撞东瀛浪人浪人直接一刀结果被高手砍柴刀打败,我在快手追好剧
32880,1467950013,18,1,18,18,汽车, car,88.96,1232732,全诺1号更静音的轮胎,全诺1号更静音的高端轮胎|全诺轮胎一路无忧
33286,1775535585,18,1,18,18,汽车, car,197.64,775587,朝阳1号轮胎,朝阳1号高端轮胎新标杆
33287,1069705729,39,1,39,39,影视和短剧, films and short plays,88.4,5859125,祝晓晗霸气换胎,好运1号更静音的高端轮胎
35405,2576025861,37,1,37,37,奇人异象, Strange People and Extraordinary Phenomena,111.566,102013,一吨的货船翻了,人间百态|纪录片
35849,2685631056,9,1,9,9,搞笑, funny,243.866,292082,一句一个笑点专治不开心笑出腹肌,爆笑|相声|搞笑
37319,2370902834,39,1,39,39,影视和短剧, films and short plays,80.566,109999,少年有为,功夫|我在快手追好剧|武侠
37594,2593392610,9,1,9,9,搞笑, funny,157.13299999999998,147593,倒霉蛋人类服了,倒霉时刻|搞笑|倒霉蛋
37773,758167343,9,1,9,9,搞笑, funny,112.586,155397,英文名字叫李虎,这很科比|出发吧老妈|好精彩屏分享
38065,1126721609,11,1,11,11,生活, life,9.516,3971,大头小虎牙交换信物,厂花|工厂小姐姐|电子厂的日常
39015,2667479871,39,1,39,39,影视和短剧, films and short plays,87.816,250051,富家姥爷帮寡妇救孩子原来是另有目的,崂山探花郎
39968,2839482297,15,1,15,15,才艺, talent,92.34,83093,二人转说唱宝玲蹦迪入大扯,二人转说唱|好精彩屏分享|二人转Dj
61224,2593392610,9,1,9,9,搞笑, funny,161.533,144964,走路低头看手机,低头玩手机|社死瞬间|搞笑
62466,1953872328,9,1,9,9,搞笑, funny,166.15,562754,天生异禀天赋,经典搞笑小品|搞笑小品|经典小品
62866,144264827,9,1,9,9,搞笑, funny,138.966,92852,搞笑视频不信你不笑,提前祝大家中秋节快乐|逗你开心逗你笑|搞笑视频
64660,1492252451,11,1,11,11,生活, life,10.066,16449,大龄工57岁都要6000以上眼见活不要技术,加油打工人|大龄工|感谢快手官大大每次热门推送
67269,1948163932,11,1,11,11,生活, life,13.8,32704,就这样把锅摆上去抢名额,进厂打工|找工作|包吃包住
71370,187999594,28,1,28,28,资讯, information,175.63299999999998,66929,监控下的一幕,笑点不打烊计划|监控下的一幕|危险无处不在
71546,2020991457,7,1,7,7,运动, movement,65.46600000000001,172542,艺术体操花样滑冰,创作灵感热门音乐|艺术体操花样滑冰太棒了
98938,669385253,13,1,13,13,三农, agriculture,263.933,709473,田埂上的老年人,正能量专递|记录农村美好生活|助力乡村振兴
99086,2699616559,13,1,13,13,三农, agriculture,92.933,157196,浇水加点它它到底是什么呢?,生根|生根粉|生根壮苗
99403,2953282769,22,1,22,22,财经, Finance,57.033,14520,"穿的贵才能遇见""贵""",强者思维|老板思维|商业思维
99539,1195332186,39,1,39,39,影视和短剧, films and short plays,98.74,1360402,新来的男老师没想到竟然对女学生做这种事,快手鉴片官|带话题上热门
99674,960407284,11,1,11,11,生活, life,35.916,187631,在日本大型广场舞,日本疫情下的生活|海外生活
99826,2235609401,30,1,30,30,法律, legal,107.419,73153,为什么嫖娼是违法的,正能量|违法|主播说新闻
100109,1272326843,19,1,19,19,情感, emotion,171.234,3646164,三种职业人心黑了国家都将面临完蛋,快手电商达人知识分享|快手商家教育
100145,1001561310,9,1,9,9,搞笑, funny,155.4,59067,沙雕日常笑到肚子疼,搞笑|沙雕|2022光合创作者大会
100291,2848644297,9,1,9,9,搞笑, funny,259.183,64863,小品合集,贾冰|搞笑小品|影视剪辑
105039,463520876,9,1,9,9,搞笑, funny,54.133,6647,你奶不抱孩子呢吗,日常|大竹子的生活
147279,527367704,19,1,19,19,情感, emotion,41.916,82238,男人的天性,快影情感电台|家庭婚姻情感|情感
151291,2169054113,7,1,7,7,运动, movement,16.32,504138,快手世民李世民,健美比赛|我在快手整活|奥赛
11916,167173220,39,1,39,39,影视和短剧, films and short plays,179.2,67441,被丈夫当天发现结果...,我在快手追好剧|最后的王爷|快手影视新热计划
13205,2541989382,12,1,12,12,美食, gourmet,297.766,2312087,大鱿鱼包小龙虾,2022光合创作者大会|记录我的农村生活
29542,2522850057,25,1,25,25,亲子, parent-child,11.166,521235,你吃多少盛多少,家庭日常|父女日常|爸爸带娃
33620,2870516472,9,1,9,9,搞笑, funny,37.95,204869,儿子come的喂,父痴子笑|搞笑一家人|come的喂
61615,2541989382,9,1,9,9,搞笑, funny,314.12,2248032,闺蜜爱上哥哥河蚬两吃,我的乡村生活
66275,2678583185,20,1,20,20,二次元, quadratic,196.583,1397928,也太好听了我是爱了爱了白衣天使你们辛苦啦,奥特曼|二次元|夏日暴击
99016,2655449335,9,1,9,9,搞笑, funny,116.616,991379,特爱找事的婆婆,婆婆|搞笑|老公
99981,1655395203,9,1,9,9,搞笑, funny,11.333,8871209,你家里也是这样吗?,二胎
4889,2130876811,2,1,2,2,音乐, music,63.021,987645,怎么唱好听,爱音乐爱唱歌|妈妈的话|快手音乐人
32952,2917127528,15,1,15,15,才艺, talent,69.45,16717,#开学小妙招,玩泥语录|开学怎样进班级不尴尬|开学小妙招
34477,2917866284,9,1,9,9,搞笑, funny,16.933,4940,医护人员为什么喜欢背着手,搞笑|医院趣事|我的逗比同事
39369,1220492756,15,1,15,15,才艺, talent,79.5,64609,123种做法,自制盲袋|少女心|手工
40487,1371307443,9,1,9,9,搞笑, funny,56.6,27389,现在的小孩现在的你,现在的小孩|太真实了
46678,2914782485,38,1,38,38,读书, reading,274.9,2388,书名:天上掉巨款,小说
63916,2637316476,15,1,15,15,才艺, talent,136.7,33960,当我妈查我手机时,当我妈检查我快手收藏时
64156,1117647936,11,1,11,11,生活, life,120.333,87102,当我冒充,情侣日常|恋爱日常|男朋友
64345,30175195,1,1,1,1,舞蹈, dance,14.625,239914,假如微信声音变成人,手指舞
71708,2894325900,39,1,39,39,影视和短剧, films and short plays,426.033,71612,亲闺女回国从百般嫌弃爸爸到难舍,快影达人|我在快手追好剧
98000,1510610017,12,1,12,12,美食, gourmet,7.8,4466,还有人不知道这个小板凳,披萨加盟|麦翁掌上披萨|开店
98702,2552910867,2,1,2,2,音乐, music,14.866,23297,《万物起舞》,我在快手整活|音乐|诡异
98735,771984595,17,1,17,17,动物, animals,8.7,1291892,和1米8男盆友吵架的你,小趴菜|快手情侣日常
99723,2260934530,9,1,9,9,搞笑, funny,108.033,6676190,老师真伟大春蚕到死丝方尽,校园|fyp|内容过于真实
100250,2666424674,16,1,16,16,健康, healthy,14.765999999999998,19418,缓解压力,男生必看|健康
11072,407886067,9,1,9,9,搞笑, funny,19.424,735451,鳄鱼偷袭大象真是勇者无畏,搞笑配音|我在快手整活|搞笑视频配音|搞笑视频
34940,2745687578,39,1,39,39,影视和短剧, films and short plays,292.966,17368,九十六,精彩片段|快手影视高热计划|感谢快手官大大每次热门推送
62629,897618571,15,1,15,15,才艺, talent,424.1,97772,苦情戏,感谢快手热点推荐|2022年光合创作者大会
66197,1019393568,19,1,19,19,情感, emotion,151.833,379612,实话实说,关爱农村老人|实话实说|传递正能量
6552,2114809377,39,1,39,39,影视和短剧, films and short plays,300.666,1558981,《石头情缘》,百忆剧好看计划|天生我有戏|情感短剧
37758,647766973,15,1,15,15,才艺, talent,107.03,618085,二人转清水河弯,谢谢家人的支持和鼓励|开心快乐美一天|秋天的第一首歌
5507,355495932,12,1,12,12,美食, gourmet,191.334,1313759,烤全羊,烤全羊|内蒙美好推荐官|草原美食
34915,2480212693,39,1,39,39,影视和短剧, films and short plays,24.666,59992,妻子被丈夫家暴数次忍无可忍竟然选择这样做,珍爱生命远离渣男
35467,2828824603,9,1,9,9,搞笑, funny,271.433,185303,搞笑配音,搞笑|搞笑视频|搞笑配音
38915,207816264,13,1,13,13,三农, agriculture,36.966,36696,公牛进入女儿国,养殖|三农|农村养牛创业
39096,1301494855,25,1,25,25,亲子, parent-child,181.516,172931,小妈我想我爸爸了,农村孩子|记录我的乡村生活|农村生活
39217,172999142,25,1,25,25,亲子, parent-child,9.933,687939,真是收放自如啊,爸爸带娃|萌娃搞笑视频|人类幼崽成长计划
97730,1301494855,19,1,19,19,情感, emotion,172.666,159337,昂我在山上打的杨涛,穷人的孩子早当家|农村生活|我的乡村生活
97767,2160286909,39,1,39,39,影视和短剧, films and short plays,405.516,1313113,万物皆有灵性家里进了贼想不到骆驼跑去给主人报信,我在快手追好剧|快手影视高热计划|快手放映厅
99969,2943496120,39,1,39,39,影视和短剧, films and short plays,125.75,31719,妻子上门抓情人却被家暴霸气反击让男人后悔不已第二集,电视剧解说|精彩片段|影视剪辑原创
633,2478327962,18,1,18,18,汽车, car,90.966,723355,刹车失灵如何自救,快说车|每天一个用车知识|创作灵感
1930,946932509,4,1,4,4,美妆, beauty,13.633,25550,男生发型选得好,男士发型|男生发型|发型设计
3757,767344068,19,1,19,19,情感, emotion,9.966,102689,女人叫你的,书语|快手好书单|文字视频
7390,2565733695,11,1,11,11,生活, life,69.46600000000001,94698,巴西-中国运载30万吨小麦印度洋船倾斜40度,带你走进海员生活
33658,357738795,36,1,36,36,房产家居, real estate,70.566,123989,哈尔滨蕞惨钉子户,全民看好房|购房百科全说|哈尔滨房产
34084,1236196558,19,1,19,19,情感, emotion,138.9,45738,有这六个行为特征的人一般都是小人,认知|思维|成长思维
35450,1951033292,39,1,39,39,影视和短剧, films and short plays,149.08,772768,生而为畜能否修道呢第二集,下雪天的快乐|世间万物皆有灵性
36519,1555676643,22,1,22,22,财经, Finance,39.933,2059807,卖房养老,财富密码在人间|你财知道|养老
44223,2851856272,19,1,19,19,情感, emotion,85.23299999999999,9550,女人出轨前有这几种征兆,情感
61911,1449866360,37,1,37,37,奇人异象, Strange People and Extraordinary Phenomena,122.332,126787,仙神托梦到底是真的还是假的?,悬疑|未解之谜|奇闻异事
63070,337805258,9,1,9,9,搞笑, funny,16.5,422617,现在喜欢潘金莲,我能等到一个深爱我的人吗|感谢快手平台支持
65539,781072621,11,1,11,11,生活, life,27.033,102474,藏于袖筒的暗器,古董古玩|民俗老物件|古玩杂项
66376,2544020091,17,1,17,17,动物, animals,154.72,23649,平头哥PK花豹,涨知识|冷知识|科普
71713,2754180912,2,1,2,2,音乐, music,30.666,484650,《何必西天万里遥》,秋天的第一首歌|迷人的微笑|我在快手整活
91440,2939804615,11,1,11,11,生活, life,11.3,53339,公路小工65岁一天400早七点晚六点包三餐包住宿,大龄工|小工|快手快招工
99790,1262327469,37,1,37,37,奇人异象, Strange People and Extraordinary Phenomena,173.333,24170,真实事件,灵异事件
100815,1451239890,19,1,19,19,情感, emotion,47.55,413880,女生喜不喜欢你一句话知道,情感语录|快影情感电台|测试
12,755029898,22,1,22,22,财经, Finance,73.566,425122,合伙做生意,老板|合伙|做生意
1881,1848963852,19,1,19,19,情感, emotion,31.85,436738,男人雄性J素旺盛有这四个特征,情感|爱情婚姻家庭婚姻|男人和女人
4231,2887438154,30,1,30,30,法律, legal,196.466,11668,接受和放弃弟弟放弃继承半年以后反悔法院如何判决,公益快普法|继承|民法典
6636,1394860961,14,1,14,14,教育, education,50.75,322151,时间词语,小学语文|教育|词语
12432,135856035,17,1,17,17,动物, animals,37.766,584264,老黄遇老猫,2022光合创作者大会
