antecedent,consequent,support_count,support,confidence,lift
gender=M & tag=张委屈,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
age_group=46-60 & tag=校园,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
city_level=四线城市 & tag=父痴子笑,behavior=effective_view,24,0.00023601140721801555,0.96,1.3262111126205678
gender=F & tag=实力坑哥,behavior=effective_view,24,0.00023601140721801555,0.96,1.3262111126205678
tag=恩爱夫妻 & theme=19,behavior=effective_view,24,0.00023601140721801555,0.96,1.3262111126205678
tag=自制盲袋,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
tag=小夫妻日常,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
tag=自制盲袋 & theme=15,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
tag=光合计划激励任务 & tag=我在快手整活,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
city_level=新一线城市 & tag=捕娱计划,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
gender=F & tag=校园故事,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
tag=恋爱 & theme=6,behavior=effective_view,23,0.00022617759858393157,0.9583333333333334,1.3239086627722683
city_level=五线城市 & tag=商业思维,behavior=effective_view,22,0.00021634378994984759,0.9565217391304348,1.3214059998936818
city_level=三线城市 & tag=科比,behavior=effective_view,22,0.00021634378994984759,0.9565217391304348,1.3214059998936818
gender=F & tag=怀孕,behavior=effective_view,22,0.00021634378994984759,0.9565217391304348,1.3214059998936818
tag=涨知识 & theme=21,behavior=effective_view,22,0.00021634378994984759,0.9565217391304348,1.3214059998936818
gender=M & tag=套路,behavior=effective_view,22,0.00021634378994984759,0.9565217391304348,1.3214059998936818
age_group=19-25 & tag=人间奇趣记录仪,behavior=effective_view,22,0.00021634378994984759,0.9565217391304348,1.3214059998936818
city_level=五线城市 & tag=小说,behavior=effective_view,42,0.0004130199626315272,0.9545454545454546,1.3186758222079509
tag=微观世界,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
tag=赵露思,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
city_level=三线城市 & tag=生活这场戏,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
tag=微观世界 & theme=29,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
tag=2022快手光合创作者大会 & tag=夏日暴击,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
gender=M & tag=老外真会玩,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
tag=2022快手光合创作者大会 & theme=15,behavior=effective_view,21,0.0002065099813157636,0.9545454545454546,1.3186758222079509
tag=萌娃 & theme=1,behavior=effective_view,40,0.00039335234536335925,0.9523809523809523,1.3156856275997695
tag=缝纫机,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=人性和现实,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
gender=M & tag=经典搞笑小品,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
city_level=三线城市 & tag=挑战,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
age_group=60+ & tag=钓鱼技巧,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=缝纫机 & theme=15,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
city_level=三线城市 & tag=广场舞,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=俄罗斯 & theme=22,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
gender=F & tag=龙卷风302,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
city_level=二线城市 & tag=农村搞笑视频,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=传统手艺 & theme=15,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
age_group=60+ & tag=外国人在中国,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=2022快手光合创作者大会 & tag=自制盲袋,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=夏日暴击 & tag=自制盲袋,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
city_level=四线城市 & tag=今日份的自拍,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=人性和现实 & theme=19,behavior=effective_view,20,0.00019667617268167962,0.9523809523809523,1.3156856275997695
tag=快手光合计划 & theme=1,behavior=effective_view,38,0.0003736847280951913,0.95,1.3123964135307702
age_group=60+ & tag=广场舞,behavior=effective_view,35,0.0003441833021929393,0.9459459459459459,1.3067958598457172
tag=辛普森一家,behavior=effective_view,34,0.00033434949355885536,0.9444444444444444,1.304721580703105
tag=套路,behavior=effective_view,32,0.0003146818762906874,0.9411764705882353,1.3002069731574193
city_level=四线城市 & tag=怀旧动画,behavior=effective_view,32,0.0003146818762906874,0.9411764705882353,1.3002069731574193
tag=实力坑哥 & tag=搞笑,behavior=effective_view,32,0.0003146818762906874,0.9411764705882353,1.3002069731574193
gender=M & tag=跑酷拉面,behavior=effective_view,47,0.0004621890058019471,0.94,1.2985817144409726
city_level=三线城市 & tag=人类幼崽成长计划,behavior=effective_view,60,0.0005900285180450389,0.9375,1.2951280396685232
gender=M & tag=火影忍者,behavior=effective_view,30,0.00029501425902251943,0.9375,1.2951280396685232
tag=辛普森一家 & theme=20,behavior=effective_view,29,0.0002851804503884354,0.9354838709677419,1.2923428180778382
tag=广场舞 & tag=快手光合计划,behavior=effective_view,42,0.0004130199626315272,0.9333333333333333,1.2893719150477743
tag=广场舞 & tag=萌娃,behavior=effective_view,42,0.0004130199626315272,0.9333333333333333,1.2893719150477743
tag=快手光合计划 & tag=萌娃,behavior=effective_view,42,0.0004130199626315272,0.9333333333333333,1.2893719150477743
gender=F & tag=快手娱乐星熠计划第七期,behavior=effective_view,55,0.000540859474874619,0.9322033898305084,1.2878109320997744
tag=内向,behavior=effective_view,27,0.00026551283312026746,0.9310344827586207,1.2861961221535678
gender=F & tag=惊不惊喜意不意外,behavior=effective_view,27,0.00026551283312026746,0.9310344827586207,1.2861961221535678
city_level=四线城市 & tag=夫妻日常,behavior=effective_view,27,0.00026551283312026746,0.9310344827586207,1.2861961221535678
tag=内向 & tag=社恐,behavior=effective_view,27,0.00026551283312026746,0.9310344827586207,1.2861961221535678
gender=F & tag=女生宿舍,behavior=effective_view,27,0.00026551283312026746,0.9310344827586207,1.2861961221535678
city_level=四线城市 & tag=搞笑一家人,behavior=effective_view,40,0.00039335234536335925,0.9302325581395349,1.2850882874230307
tag=人间真实在快手 & theme=25,behavior=effective_view,39,0.00038351853672927524,0.9285714285714286,1.2827934869097755
tag=小天大帅哥,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=小天朝笑,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=模仿小天,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=小天大帅哥 & tag=小天朝笑,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=小天大帅哥 & tag=模仿小天,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=小天大帅哥 & theme=9,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=小天朝笑 & tag=模仿小天,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=小天朝笑 & theme=9,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=模仿小天 & theme=9,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=情侣 & theme=19,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
tag=好物分享 & tag=短剧有好货,behavior=effective_view,26,0.0002556790244861835,0.9285714285714286,1.2827934869097755
age_group=19-25 & tag=一人分饰多角,behavior=effective_view,51,0.0005015242403382831,0.9272727272727272,1.2809993701448665
tag=小麦的精神世界,behavior=effective_view,25,0.0002458452158520995,0.9259259259259259,1.2791388046108871
gender=M & tag=关爱留守儿童,behavior=effective_view,25,0.0002458452158520995,0.9259259259259259,1.2791388046108871
city_level=二线城市 & tag=一人分饰多角,behavior=effective_view,25,0.0002458452158520995,0.9259259259259259,1.2791388046108871
city_level=五线城市 & tag=小说推荐,behavior=effective_view,25,0.0002458452158520995,0.9259259259259259,1.2791388046108871
tag=火影忍者,behavior=effective_view,37,0.0003638509194611073,0.925,1.2778596658062764
city_level=三线城市 & tag=动漫,behavior=effective_view,37,0.0003638509194611073,0.925,1.2778596658062764
gender=M & tag=广场舞,behavior=effective_view,48,0.0004720228144360311,0.9230769230769231,1.2752029929043922
gender=M & tag=动漫解说,behavior=effective_view,36,0.0003540171108270233,0.9230769230769231,1.2752029929043922
tag=校园趣事,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=防蚊喷雾,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
city_level=五线城市 & tag=家庭日常,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=人间奇趣记录仪 & tag=惊不惊喜意不意外,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
age_group=46-60 & tag=萌娃搞笑瞬间,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=农村搞笑段子 & tag=农村搞笑视频,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=剧情 & tag=搞笑,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=好物分享 & tag=防蚊喷雾,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=短剧有好货 & tag=防蚊喷雾,behavior=effective_view,24,0.00023601140721801555,0.9230769230769231,1.2752029929043922
tag=搞笑 & tag=新光合计划,behavior=effective_view,35,0.0003441833021929393,0.9210526315789473,1.272406495112935
age_group=60+ & tag=笑疯了老铁,behavior=effective_view,35,0.0003441833021929393,0.9210526315789473,1.272406495112935
age_group=60+ & tag=快手有戏精,behavior=effective_view,35,0.0003441833021929393,0.9210526315789473,1.272406495112935
tag=心动一夏第二期,behavior=effective_view,46,0.00045235519716786313,0.92,1.2709523162613776
tag=生活小贴士,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=素人特工,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=探险,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=孕晚期,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=揭秘小故事,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=书语 & tag=每天学习一点点,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=书语 & tag=生活小贴士,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=书语 & theme=14,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=每天学习一点点 & tag=生活小贴士,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=每天学习一点点 & theme=14,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=生活小贴士 & theme=14,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=火影忍者 & theme=20,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=素人特工 & theme=39,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=社会百态 & theme=19,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=孕晚期 & theme=25,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=挑战 & theme=15,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
gender=M & tag=外国美女,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
city_level=三线城市 & tag=农村段子,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
city_level=一线城市 & tag=记录我的农村生活,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
age_group=19-25 & tag=一定要看到最后,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=一人分饰多角 & tag=内容过于真实,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=精神氮泵 & tag=艾特你想艾特的人,behavior=effective_view,23,0.00022617759858393157,0.92,1.2709523162613776
tag=惊不惊喜意不意外,behavior=effective_view,55,0.000540859474874619,0.9166666666666666,1.2663474165647781
city_level=四线城市 & tag=关爱女性健康,behavior=effective_view,33,0.00032451568492477135,0.9166666666666666,1.2663474165647781
city_level=五线城市 & tag=超爆小故事,behavior=effective_view,33,0.00032451568492477135,0.9166666666666666,1.2663474165647781
tag=追剧一下,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=岁月的痕迹,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=跳一支很超前的卡带舞,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=相亲,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=汪文斌,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=体育生的集体生活,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
city_level=五线城市 & tag=野生动物,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=汪文斌 & theme=28,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
age_group=36-45 & tag=come的喂,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=学生党 & tag=揭秘小故事,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=快手热点 & tag=电影解说,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
city_level=三线城市 & tag=怀孕,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
age_group=19-25 & tag=十八从头开始,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=艾特你想艾特的人 & tag=要做一个猛男,behavior=effective_view,22,0.00021634378994984759,0.9166666666666666,1.2663474165647781
tag=心动一夏第二期 & theme=6,behavior=effective_view,42,0.0004130199626315272,0.9130434782608695,1.2613420908076052
tag=文浩太难了,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=动物的迷惑行为,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=钓鱼那些事,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=体育生的日常,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
city_level=五线城市 & tag=反转,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
gender=M & tag=海绵宝宝,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
city_level=四线城市 & tag=原创搞笑,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
age_group=26-35 & tag=故事,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=电影推荐 & tag=电影解说,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
age_group=26-35 & tag=商业思维,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=揭秘小故事 & theme=15,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=正能量 & tag=涨知识,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
gender=M & tag=钓鱼那些事,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=情侣日常 & theme=9,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=2022光合创作者大会 & tag=心动一夏第二期,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=心动一夏第二期 & tag=快手影视高热计划,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=体育生的日常 & tag=体育生的集体生活,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=体育生的日常 & tag=男生宿舍,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=体育生的日常 & theme=7,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=体育生的集体生活 & tag=男生宿舍,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=体育生的集体生活 & theme=7,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=男生宿舍 & theme=7,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
tag=同城热点 & tag=电子厂,behavior=effective_view,21,0.0002065099813157636,0.9130434782608695,1.2613420908076052
city_level=四线城市 & tag=财经,behavior=effective_view,31,0.0003048480676566034,0.9117647058823529,1.25957550524625
tag=快手创作者服务中心 & theme=19,behavior=effective_view,31,0.0003048480676566034,0.9117647058823529,1.25957550524625
tag=艾特你想艾特的人 & theme=7,behavior=effective_view,30,0.00029501425902251943,0.9090909090909091,1.2558817354361438
gender=F & tag=和你在一起,behavior=effective_view,30,0.00029501425902251943,0.9090909090909091,1.2558817354361438
tag=快手游戏秋日有礼,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=为钟南山院士点zan,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=向英雄钟老致敬,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=他怎么从挑食婆婆哪里跳脱,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=致敬伟人,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=球鞋修复,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=火影忍者手游,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=台球厅,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=星汉灿烂,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=呜呼丝滑卡点舞,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=格斗 & tag=综合格斗,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
city_level=四线城市 & tag=山楂树下月满中秋,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=文浩太难了 & theme=39,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=26-35 & tag=教育,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
gender=M & tag=游戏日常,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=60+ & tag=狮子,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=60+ & tag=户外钓鱼,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
gender=F & tag=斗罗大陆,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=26-35 & tag=手势舞,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
gender=M & tag=荒岛求生,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=36-45 & tag=樱花校园模拟器,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=36-45 & tag=人间奇趣记录仪,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=36-45 & tag=影视,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=快手创作者服务中心 & tag=正能量,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=我妈给我一个大碧斗 & tag=搞笑,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=创作灵感 & theme=20,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=36-45 & tag=父痴子笑,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=为钟南山院士点zan & tag=向英雄钟老致敬,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=为钟南山院士点zan & tag=正能量分享,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=为钟南山院士点zan & theme=28,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=向英雄钟老致敬 & tag=正能量分享,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=向英雄钟老致敬 & theme=28,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=正能量分享 & theme=28,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
gender=M & tag=猫和老鼠,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=他怎么从挑食婆婆哪里跳脱 & tag=学生党,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=他怎么从挑食婆婆哪里跳脱 & tag=揭秘小故事,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=他怎么从挑食婆婆哪里跳脱 & theme=15,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
city_level=一线城市 & theme=37,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=快影达人 & tag=快手鉴片官,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
gender=M & tag=每天学习一点点,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=46-60 & tag=孩子教育,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
city_level=四线城市 & tag=荣耀萤火新星训练营,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=台球厅 & tag=台球桌,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=台球厅 & theme=7,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
city_level=三线城市 & tag=美食测评,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
city_level=二线城市 & tag=原神,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
age_group=19-25 & tag=搞笑一家人,behavior=effective_view,20,0.00019667617268167962,0.9090909090909091,1.2558817354361438
tag=骗你生女儿,behavior=effective_view,29,0.0002851804503884354,0.90625,1.2519571050129057
tag=篮球 & tag=篮球新世代,behavior=effective_view,29,0.0002851804503884354,0.90625,1.2519571050129057
city_level=三线城市 & tag=家庭日常,behavior=effective_view,29,0.0002851804503884354,0.90625,1.2519571050129057
gender=M & tag=动漫,behavior=effective_view,67,0.0006588651784836267,0.9054054054054054,1.2507903229951864
gender=M & tag=生活这场戏,behavior=effective_view,38,0.0003736847280951913,0.9047619047619048,1.2499013462197812
tag=怀孕 & theme=25,behavior=effective_view,38,0.0003736847280951913,0.9047619047619048,1.2499013462197812
age_group=19-25 & tag=恋爱,behavior=effective_view,38,0.0003736847280951913,0.9047619047619048,1.2499013462197812
gender=F & tag=父痴子笑,behavior=effective_view,47,0.0004621890058019471,0.9038461538461539,1.2486362638855506
tag=每天学习一点点,behavior=effective_view,28,0.00027534664175435147,0.9032258064516129,1.2477792726268782
tag=办公室游戏,behavior=effective_view,28,0.00027534664175435147,0.9032258064516129,1.2477792726268782
tag=备孕,behavior=effective_view,28,0.00027534664175435147,0.9032258064516129,1.2477792726268782
